,id,studentID,task_id,query,score,content,time_stamp,target,SessionID,state,QueryOrder,QueryLength,session_end,QueryDwellTime,BEGIN_SEARCH_count,JUMP_IN_count,MOUSE_MOVE_count,JUMP_OUT_count,QUERY_REFORM_count,HoverCount,CLICK_count,ScrollDist,OVER_count,SEARCH_END_count,GOTO_PAGE_count,ActionCount,segment_start_time,session_start_time,segment_first_click_time,segment_last_click_time,session_first_click_time,session_last_click_time,TimeFirstClick,TimeLastClick,ClickCount,TotalContent,AvgContent,SERPtime,QueryRelDocCount,QueryKeyDocCount,TaskRelDocCount,TaskKeyDocCount,QueryNDCG@3,QueryNDCG@5,QueryNDCG@10,TaskNDCG@3,TaskNDCG@5,TaskNDCG@10,query_DCG3,query_DCG5,query_DCG10,task_DCG3,task_DCG5,task_DCG10,QueryPrecision@3,QueryPrecision@5,QueryPrecision@10,TaskPrecision@3,TaskPrecision@5,TaskPrecision@10,Clicks@3,Clicks@5,Clicks@10,AvgClickRank,last_query,NewTerm,QuerySim,AveQueryRelScore,AveTaskRelScore,click_precision_query,click_precision_task,ClickDepth,Query_Cost-Benefit-1,Task_Cost-Benefit-1,Query_Cost-Benefit-2,Task_Cost-Benefit-2,Query_Cost-Benefit-3,Task_Cost-Benefit-3
115,196,1701110210,1, 十个新员工，近期需要进行新员工培训。请查找一个适合新员工培训时采用，大约十人参与的破冰游戏的玩法,5,TIMESTAMP=1513066938596 USER=1701110210 TASK=1 QUERY= 十个新员工，近期需要进行新员工培训。请查找一个适合新员工培训时采用，大约十人参与的破冰游戏的玩法 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,65,2,1,49,0,27.642,1,1,47,1,1,2,1,0,0,0,0,54,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,34.832,89.006,1,1.521,1.521,26.121,0,0,0,0,0.731840728,0.749960456,0.855204378,1,0.84897892,0.963114264,10.91650828,14.31809699,17.52635113,14.91650828,16.20853795,19.41679209,1,1,0.7,1,0.8,0.6,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0
116,197,1701110210,1, 适合新员工培训时采用 大约十人参与的破冰游戏的玩法,5,TIMESTAMP=1513066992770 USER=1701110210 TASK=1 QUERY= 适合新员工培训时采用 大约十人参与的破冰游戏的玩法 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,65,1,2,26,1,34.387,1,7,93,7,0,26,6,79,1,0,0,220,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,34.832,89.006,6,7.476,1.246,26.911,6,6,6,6,0.696730701,0.739553577,0.902351677,0.696730701,0.69735159,0.899596406,10.39278926,12.84537736,19.9910573,10.39278926,14.39278859,22.87180186,1,1,1,1,1,1,1,2,3,4.666666667, 十个新员工，近期需要进行新员工培训。请查找一个适合新员工培训时采用，大约十人参与的破冰游戏的玩法,0,0.648648649,2.333333333,2.5,1,1,9,1,1,0.666666667,0.666666667,17.94066667,17.94066667
93,172,1701110210,2, 北京周边 短期游,4,TIMESTAMP=1513063113285 USER=1701110210 TASK=2 QUERY= 北京周边 短期游 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=4,1.51E+12,1,60,1,1,9,0,111.75,1,6,137,6,1,20,6,114,0,0,0,291,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,156.524,600.408,6,49.035,8.1725,62.715,5,5,5,5,0.361531611,0.501161875,0.786114728,0.843573758,0.886946598,0.963797395,5.392789261,9.568083589,18.31566631,5.392789261,7.845377357,11.99974826,1,1,1,1,1,1,2,3,2,4.333333333,,1,0,2.4,2,0.833333333,0.833333333,9,0.833333333,0.833333333,0.555555556,0.555555556,34.84166667,34.84166667
94,173,1701110210,2, 北京周边 短期度假 攻略,4,TIMESTAMP=1513063216303 USER=1701110210 TASK=2 QUERY= 北京周边 短期度假 攻略 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=4,1.51E+12,1,60,1,2,13,0,91.287,1,2,106,2,1,12,2,115,0,0,0,241,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,156.524,600.408,2,53.837,26.9185,37.45,2,2,2,2,0.397238142,0.706198663,0.77765653,0.493700933,0.710833853,0.793487194,5.130929754,10.85363531,13.74633195,5.130929754,9.130929078,12.02362572,1,1,1,1,1,1,0,0,2,6.5, 北京周边 短期游,0.333333333,0.583333333,2,2,1,1,7,1,1,0.285714286,0.285714286,10.7,10.7
95,174,1701110210,2, 古北水镇 攻略,5,TIMESTAMP=1513063380190 USER=1701110210 TASK=2 QUERY= 古北水镇 攻略 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,60,2,3,8,0,153.939,1,1,61,1,1,6,1,64,0,0,0,136,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,156.524,600.408,1,121.055,121.055,32.884,1,1,1,1,0.562651065,0.608941973,0.839114199,0.687147516,0.773893196,0.89106569,8.392789261,12.56808359,22.52966514,4.392789261,6.845377357,11.63067801,1,1,1,1,1,1,0,0,1,7, 北京周边 短期度假 攻略,0.214285714,0.285714286,3,2,1,1,7,1,1,0.142857143,0.142857143,4.697714286,4.697714286
96,175,1701110210,2, 黄花城水长城 攻略,5,TIMESTAMP=1513063467320 USER=1701110210 TASK=2 QUERY= 黄花城水长城 攻略 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,60,2,4,10,0,76.303,1,2,57,2,1,6,2,97,0,0,0,168,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,156.524,600.408,2,20.73,10.365,55.573,2,2,2,2,0.731840728,0.731219838,0.891761516,0.494931689,0.687619059,0.821533098,10.91650828,15.0918026,26.25750414,6.392789261,10.56808359,16.55750423,1,1,1,1,1,1,1,2,0,2.5, 古北水镇 攻略,0.363636364,0.363636364,2.5,2,1,1,4,1,1,0.5,0.5,27.7865,27.7865
97,176,1701110210,2,张裕酒庄 攻略,5,TIMESTAMP=1513063507180 USER=1701110210 TASK=2 QUERY=张裕酒庄 攻略 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,60,2,5,7,0,28.958,1,1,66,1,1,8,1,70,0,0,0,149,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,156.524,600.408,1,1.136,1.136,27.822,1,0,1,0,0.922579696,0.872469799,0.958508827,0.842828265,0.817524422,0.854730353,11.91650828,12.73403764,15.24165733,7.916508275,8.347184833,9.586077865,1,1,0.9,1,0.8,0.8,1,1,0,2, 黄花城水长城 攻略,0.333333333,0.25,1,1,1,1,2,1,1,0.5,0.5,13.911,13.911
98,177,1701110210,2,白洋淀 攻略,5,TIMESTAMP=1513063557169 USER=1701110210 TASK=2 QUERY=白洋淀 攻略 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,60,2,6,6,1,41.17,1,2,92,2,0,12,2,67,1,0,0,179,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,156.524,600.408,2,13.966,6.983,27.204,2,2,2,2,0.865920364,0.790635589,0.95107853,0.804612906,0.785450976,0.927620259,12.91650828,16.31809699,23.2520906,10.39278926,12.07167174,16.46821204,1,1,0.8,1,1,0.8,2,2,0,2.5,张裕酒庄 攻略,0.3,0.3,2.5,2,1,1,3,1,1,0.666666667,0.666666667,18.136,18.136
88,167,1701110210,3, 死飞自行车 清华附近,3,TIMESTAMP=1513062141813 USER=1701110210 TASK=3 QUERY= 死飞自行车 清华附近 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=3,1.51E+12,0,59,1,1,11,0,49.902,1,2,72,2,1,10,2,30,0,0,0,120,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,67.816,444.953,2,13.386,6.693,36.516,1,0,1,0,0.470786921,0.742039159,0.742039159,0.907283601,0.980570472,0.980570472,4.892789261,8.031435469,8.031435469,4.892789261,5.710318626,5.710318626,0.666666667,0.8,0.8,0.666666667,0.8,0.8,1,1,0,1,,1,0,1,1,0.5,0.5,2,0.5,0.5,0.5,0.5,18.258,18.258
89,168,1701110210,3, 死飞自行车,2,TIMESTAMP=1513062180895 USER=1701110210 TASK=3 QUERY= 死飞自行车 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=2,1.51E+12,0,59,1,2,6,0,29.773,1,1,33,1,1,4,1,68,0,0,0,110,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,67.816,444.953,1,2.404,2.404,27.369,1,1,1,1,0.530721274,0.547394237,0.710926022,0.612898479,0.635941001,0.711229155,7.916508275,9.507743255,12.83835489,7.916508275,8.73403764,10.2584693,0.666666667,0.8,0.7,0.666666667,0.8,0.7,1,1,0,1, 死飞自行车 清华附近,0,0.6,3,3,1,1,1,1,1,1,1,27.369,27.369
